Ticket_ID,Titulo,Texto_Completo,Q_Score_DoR,Tipo_Detectado,SP_Empirico_Historico,SP_Inferencia_IA,Justificacion_IA,Desviacion_SP
1,Diagnosis and Severity Management...,"Diagnosis and Severity Management
Historia: As a psychiatrist, I want to be able to edit my patient's clinical diagnosis and assign a severity level to maintain accurate and up-to-date control of their mental health status.
Criterios de Aceptación: 1. Since the psychiatrist is in the ""Patient View"", when you select a patient and access the ""Diagnosis"" section, you can then edit the existing diagnosis and save the changes.
2. Since the psychiatrist edits the diagnosis, they can then select and save a ""Severity Level"" associated with that diagnosis (e.g., Mild, Moderate, Severe).
3. Since an edit is made and the changes to the diagnosis or severity are saved, the system automatically records the date, time, the user who made the modification, and the previous value of the diagnosis in an immutable patient history.",5.0,User Story,6,5,"El PBI está bien estructurado y cumple con los criterios de la metodología INVEST. La historia proporciona un valor claro para el usuario final (el psiquiatra) al permitirle editar diagnósticos y asignar niveles de severidad, lo que es crucial para el control de la salud mental del paciente. Los criterios de aceptación son específicos, medibles y detallan el comportamiento esperado del sistema, lo que facilita su estimación y desarrollo. No hay ambigüedades ni omisiones, y el impacto del cambio está claramente definido.",1
2,Medical Prescription Update...,"Medical Prescription Update
Historia: As a psychiatrist, I want to be able to see my patient's current medication and enter a new one or modify the prescription to ensure that the drug treatment is appropriate at all times.
Criterios de Aceptación: 1. Since the psychiatrist is in the ""Patient View"", when he accesses the ""Medications"" section, he can clearly see the medication currently prescribed by the patient.
2. Since the psychiatrist accesses the ""Medications"" section, they can then add a new medication or modify an existing one, and the system saves and displays the new prescription as current.
3. Since the psychiatrist adds or modifies a prescription, the system automatically records the date, time, the user who performed the action, the previous medication, and the new medication in the patient's treatment history.",5.0,User Story,8,5,"El PBI está bien definido y cumple con los criterios de la metodología INVEST: es Independiente, Negociable, Valioso, Estimable, y tiene un tamaño adecuado. La historia proporciona un contexto claro sobre el rol del usuario (psiquiatra) y el valor que se espera entregar (actualización de la prescripción médica). Los criterios de aceptación son específicos, medibles y detallan el comportamiento esperado del sistema, lo que permite una fácil verificación. No hay ambigüedades ni omisiones, lo que lo hace listo para el Sprint.",3
3,Patient Safety Plan Edition...,"Patient Safety Plan Edition
Historia: As a patient, I want to be able to edit my safety plan at any time to ensure I have an up-to-date and relevant action plan for when I feel in crisis or unwell.
Criterios de Aceptación: 1. Given an authenticated patient, when they access the ""Security Plan View"", they can then modify any of the plan fields and successfully save the changes.
2. Since the patient edits and saves their Safety Plan, the system automatically records the date, time, and an indicator that the plan was updated by the patient, maintaining a history of previous versions.
3. Given a patient who edits their safety plan, they can add an emergency number which can be used to call them by tapping the number in the plan view.",4.0,User Story,7,5,"El PBI presenta una historia de usuario clara que entrega valor directo al paciente al permitirle editar su plan de seguridad. Los criterios de aceptación son específicos y medibles, lo que facilita la estimación y la implementación. Sin embargo, hay omisiones triviales en cuanto a la validación de los campos editables y la gestión de errores, lo que podría mejorar la claridad y la robustez del PBI.",2
4,Viewing and Exporting the Security Plan (PDF)...,"Viewing and Exporting the Security Plan (PDF)
Historia: As a psychiatrist, I want to be able to view my patient's safety plan and export it in PDF format to have a backup copy and reference of my patient's coping strategy.
Criterios de Aceptación: 1. Given a psychiatrist, when viewing a patient's safety plan, they can then select the ""Export to PDF"" option and the document is downloaded with the full content of the plan.
2. Since the psychiatrist exports the plan to PDF, the generated document maintains the readable formatting and design of the web view.
3. Since the PDF is generated, it includes information such as the patient's name, the date of the last plan update, and the export date.",4.0,User Story,5,5,"El PBI está bien definido y proporciona un valor claro al usuario final (el psiquiatra) al permitirle ver y exportar el plan de seguridad de un paciente. Los criterios de aceptación son claros y estimables, aunque podrían beneficiarse de una mayor especificidad en cuanto a la 'formato legible' y 'diseño' del PDF. Sin embargo, no hay omisiones significativas que impidan su implementación, lo que justifica una calificación de 4.0.",0
5,Security Plan Update Notification...,"Security Plan Update Notification
Historia: As a psychiatrist, I want to see a visual cue if my patient has recently updated their safety plan so I know when to review the changes and discuss it in our next session.
Criterios de Aceptación: 1. Since the patient has edited and saved their Safety Plan, when the psychiatrist accesses the ""Patient View"", a clear visual indicator (e.g., a ""New"" or ""Updated"" icon) is displayed next to the patient's name or their safety plan.
2. Given an updated safety plan notification, when the psychiatrist accesses the view, he can review what data has changed from the previous one.
3. Given an updated security plan, when the psychiatrist closes the view of the changes made, the visual cue will disappear.",4.0,User Story,3,5,"La historia de usuario está bien definida y proporciona un valor claro al psiquiatra al notificarle sobre actualizaciones en el plan de seguridad del paciente. Los criterios de aceptación son específicos y medibles, lo que permite estimar el esfuerzo necesario para implementarlos. Sin embargo, podría beneficiarse de una mayor claridad en cuanto a la forma en que se presentarán los cambios en los datos, así como de un contexto adicional sobre cómo se gestionarán las notificaciones en diferentes escenarios. Esto representa una omisión trivial que impide alcanzar una calificación perfecta.",-2
6,Onboarding Guide for New Users...,"Onboarding Guide for New Users
Historia: As a new user, I want a simple and guided onboarding process the first time I use the app so I can easily and quickly understand how to use the main features of the application.
Criterios de Aceptación: 1. Since the user starts the application for the first time, when they log in, a sequence of no more than 4 screens is presented that explain the key functionalities of the app.
2. Since the user is in the onboarding process, they have the clear option to ""Skip"" or ""Leave out"" the process at any time.
3. Since the user has completed or skipped the onboarding process, when they log back in, the onboarding process is not displayed again.",4.0,User Story,5,5,"El PBI presenta una historia de usuario clara y comprensible, cumpliendo con el formato 'Como [rol], quiero [objetivo] para [beneficio]'. Los criterios de aceptación son específicos y medibles, lo que permite una estimación adecuada. Sin embargo, podría beneficiarse de una mayor claridad en cuanto a la experiencia del usuario y el diseño de las pantallas, así como de un contexto adicional sobre cómo se integrará el onboarding en el flujo general de la aplicación.",0
7,Questionnaire history...,"Questionnaire history
Historia: As a patient, I want to see the responses to the forms I have filled out so I can have my answers whenever I deem it convenient.
Criterios de Aceptación: 1. Given a patient in the questionnaires view, they can navigate to a view that contains a list of answered questionnaires.
2. Given a patient in the view of answered questionnaires, they can select one from the list and the responses of the selected questionnaire will be displayed.
3. Given a patient who has selected a questionnaire, they can export their responses to a PDF document.",4.0,User Story,3,5,"La historia de usuario está bien definida y entrega valor directo al usuario final (paciente) al permitirle acceder a sus respuestas de formularios. Los criterios de aceptación son claros y estimables, aunque podrían beneficiarse de una mayor especificidad en cuanto a la interfaz y el formato del PDF. No hay omisiones críticas, pero se podría mejorar la claridad en algunos aspectos.",-2
8,Psychiatrist Calendar...,"Psychiatrist Calendar
Historia: As a psychiatrist, I want to have access to a personal calendar where I can add and view personal reminders.
Criterios de Aceptación: 1. Given a psychiatrist, they can view a calendar in their psychiatrist details tab.
2. Given a psychiatrist, they can enter personal reminders into the calendar.
3. Given a psychiatrist, they can edit and/or delete your previously entered calendar reminders.",4.0,User Story,6,5,"La historia de usuario está bien definida y proporciona un contexto claro sobre el valor que se entrega al usuario final (el psiquiatra). Los criterios de aceptación son específicos y medibles, lo que permite estimar el esfuerzo necesario para su implementación. Sin embargo, podría beneficiarse de una mayor claridad en cuanto a la interfaz de usuario y la experiencia del usuario al interactuar con el calendario, así como la gestión de posibles errores al agregar, editar o eliminar recordatorios. Esto se considera una omisión trivial, lo que justifica la calificación de 4.0.",1
9,Central Alert Indicator...,"Central Alert Indicator
Historia: As a psychiatrist, I want to have a centralized notifications icon in the app header that shows me the count of deviations or critical alerts (e.g., questionnaire responses) generated by my patients.
Criterios de Aceptación: 1. Given a psychiatrist in any view, you may then see a bell icon or similar in the top navigation bar that displays a numerical counter with the total number of active, unreviewed alerts.
2. Since there are new alerts or deviations, when the psychiatrist clicks on the notifications icon, a summary list of patients and the type of alert is displayed (e.g., ""Patient X - Critical Questionnaire"").
3. Since the psychiatrist clicks on an item in the drop-down list, he is then automatically redirected to the patient's record with the active alert (HU 11) and the counter is updated.",4.0,User Story,4,8,"La historia de usuario está bien definida y proporciona un valor claro para el usuario final (psiquiatra) al permitirle ver alertas críticas de sus pacientes. Los criterios de aceptación son claros y estimables, aunque podrían beneficiarse de una mayor especificidad en cuanto a la presentación visual del icono y el comportamiento esperado en caso de que no haya alertas. Sin embargo, no hay omisiones significativas que impidan su implementación en un Sprint.",-4
10,Detailed Alert Display...,"Detailed Alert Display
Historia: 
Criterios de Aceptación: ",2.0,User Story,4,5,"El PBI presenta un título que sugiere que se trata de una historia de usuario, pero carece de una descripción clara y de criterios de aceptación definidos. La ambigüedad en el contenido y la falta de información sobre el impacto o comportamiento esperado hacen que sea difícil de estimar y comprender. Esto lo clasifica como 'Pobre' en términos de calidad.",-1
