project_id,user_story,target,pbi_type,hu_q_score,defect_reasoning,is_atomic,pbi_type_encoded,Real_SP,Pred_SP,Abs_Error,Complexity,Pred_FIB,Level_Distance
4456656,GFM Typescale > Inline diff > design - Create Figma specs for the GitLab Flavored Markdown inline diff component. See parent epic for detailed information about this component. Figma files: - [Documentation markdown - Inline diff](https://www.figma.com/file/V3HKN83B7rf2T6sseLMrxa/Type-scale---Documentation-Markdown?node-id=988%3A10) - [Compact markdown - Inline diff](https://www.figma.com/file/mjAZxHkK95TlQ6L14aNp2M/Type-scale---Compact-Markdown?node-id=893%3A4),1,Spike,4.0,"El PBI es una tarea de investigación para crear especificaciones de diseño en Figma, lo que implica un análisis previo y no entrega valor inmediato al usuario final. Sin embargo, los enlaces a los archivos de Figma proporcionan contexto claro y específico, lo que permite estimar el trabajo. Se podría mejorar con más detalles sobre el impacto esperado en el producto.",,1,1,2.83045580577177,1.83045580577177,Pequeña (1-3 SP),3,2
10171263,Apply the new email template to our existing system emails - We need to apply the new template to these emails and audit the ones we actually send. Those emails are listed on #1371 Probably worth cleaning up our old templates and removing all the old emails This should mostly be changed the underlying template and verifying that emails look correct. There shouldn't be a lot of code changes until we start redesigning the emails individually @ottman @jotto141 @markeharding can you help confirm the list of emails we send and want fixed? - [ ] Retrofit our existing emails - [ ] Refactor and cleanup the old emails so we can get them all into once place - [ ] Delete the old emails we are no longer using - [ ] Audit and verify our existing emails with the new template. - [ ] Bonus points for setting up a cli utility that allows us to send them on demand for both test and admin experience. https://design.minds.com/hosted/other/design%23-email/ **Spreadsheet** https://docs.google.com/spreadsheets/d/1Dv3FGgOW3Md1xr1z-PKKrZ_7TgCpga8DuBehw5eOgd8/edit#gid=0,8,Technical Task,3.0,"El PBI describe tareas técnicas relacionadas con la actualización y limpieza de plantillas de correo electrónico, pero carece de claridad en los pasos específicos y en la mitigación de riesgos. Aunque es comprensible, necesita refinamiento para definir mejor el impacto y el comportamiento esperado.",,2,8,5.449647932789083,2.550352067210917,Mediana (5-8 SP),5,1
4456656,"FY23 Q3 Foundations KR2: Gap analysis that determines what areas of Pajamas are missing or needing further refinement, and what the potential impact is - ## Purpose See [epic description](https://gitlab.com/groups/gitlab-org/gitlab-services/-/epics/12). ## Steps - [ ] Conduct an internal survey to better understand what perceived gaps are. - [ ] Triage open issues to determine what topics and items are most commonly discussed. - [ ] Create sub-epics or new issues to organize by theme. - [ ] Identify gaps in Pajamas design language. These are the areas that need clarified in order for anyone to have confidence and continuity when building an experience using the design system. For example, I know what component A does, but do I know how to use it with component B, or in a scenario where multiple components exist? - [ ] Make proposals to close gaps. --- ## Retrospection ### Good * Some ideas were uncovered during the IA work. ### Bad * The IA effort took too long and I didn't get to this. ### Try * Breaking down even smaller.",3,Spike,4.0,"El PBI es una tarea de investigación que busca identificar y analizar las brechas en el diseño de Pajamas, lo que implica un enfoque exploratorio. Aunque los pasos son claros y se puede estimar el esfuerzo, la naturaleza de la investigación puede llevar a resultados inciertos. Se requiere refinamiento en la definición de los resultados esperados.",,1,3,3.311933227946479,0.3119332279464788,Pequeña (1-3 SP),3,0
278964,Discover and gracefully handle failures from many databases - We want the application to be able to discover and gracefully handle failures from many databases (handle many SPOFs) Related issue: gitlab-org/gitlab#331091,1,Technical Task,4.0,"El PBI describe una tarea técnica clara relacionada con la mejora de la resiliencia de la aplicación ante fallos de bases de datos. Aunque es comprensible y tiene un objetivo definido, podría beneficiarse de una mayor claridad en los criterios de éxito y en cómo se medirá la efectividad de la implementación. No hay ambigüedad severa, pero se requiere un poco más de detalle para ser completamente estimable.",,2,1,2.881443628465698,1.8814436284656981,Pequeña (1-3 SP),3,2
7128869,Write delegation transaction log record in the consumer log too - The information is available in the DB & API. The info should be shown in the UI.,2,User Story,3.0,"La historia es comprensible y se enfoca en la entrega de valor al usuario final al mostrar información en la UI. Sin embargo, carece de detalles sobre cómo se implementará la funcionalidad, no define claramente el impacto esperado en la UI y no aborda posibles riesgos o flujos alternativos. Requiere refinamiento para ser más específica y completa.",,3,2,3.8643175335101407,1.8643175335101407,Pequeña (1-3 SP),3,1
278964,"Remove zero-width whitespace ""hack"" - [app/assets/javascripts/vue_shared/components/markdown/suggestion_diff_row.vue](https://gitlab.com/gitlab-org/gitlab/blob/master/app/assets/javascripts/vue_shared/components/markdown/suggestion_diff_row.vue#L28_) has a comment ```js <span v-if=""line.text"">{{ line.text }}</span> <!-- TODO: replace this hack with zero-width whitespace when we have rich_text from BE --> <span v-else>&#8203;</span> ``` #22182 added display of `line.rich_text` when available, but we (@thomasrandolph and @kerrizor) didn't have enough context on the hack to know if we _could_ actually remove it. [Comment thread](https://gitlab.com/gitlab-org/gitlab/merge_requests/22182#note_264039150)",1,Technical Task,3.0,"El PBI describe la eliminación de un 'hack' relacionado con el manejo de texto en un componente Vue. Aunque es comprensible, carece de contexto sobre el impacto de esta eliminación y no proporciona pasos claros para su implementación. Requiere refinamiento para definir mejor los riesgos y el comportamiento esperado tras la eliminación.",,2,1,1.9975704558008338,0.9975704558008338,Pequeña (1-3 SP),2,1
10171280,"Search dropdown should go all the way to keyboard - <!--- Please read this! Before opening a new issue, make sure to search for keywords in the issues filtered by the ""T - Bug"" label and verify the issue you're about to submit isn't a duplicate. ---> ### Summary (Summarize the bug encountered concisely) ### Steps to reproduce (How one can reproduce the issue - this is very important) ### Platform information (Browser, device, system stats, screen size) ### What is the current *bug* behavior? (What actually happens) ### What is the expected *correct* behavior? (What you should see instead) ### Relevant logs and/or screenshots (Paste any relevant logs - please use code blocks (```) to format console output, logs, and code as it's very hard to read otherwise.) ### Possible fixes (If you can, link to the line of code that might be responsible for the problem)",1,Bug,3.0,"El PBI describe un comportamiento anómalo en un componente de la interfaz (dropdown) y sugiere pasos para reproducirlo. Sin embargo, carece de detalles específicos sobre el comportamiento actual y esperado, lo que dificulta su comprensión completa. Requiere refinamiento para clarificar el impacto y el contexto.",,0,1,1.8228444764567118,0.8228444764567118,Pequeña (1-3 SP),2,1
21149814,"BE/avi-message-converter: warnings for TAF TAC creation still some left - - Since the TAC is not made on each onblur, this issue might be resolved. - Try to save a draft TAF with empty fields/lines or invalid cloud groups. - The TAC warning should be findable in Grafana, but should not be forwarded to the Slack channel and mail. - When publishing TAF with a problematic TAC, the publishing should still fail.",3,Bug,3.0,"El PBI describe un comportamiento anómalo relacionado con la creación de TAC y su manejo en el sistema. Aunque se entiende el problema, carece de detalles sobre el contexto sistémico y los pasos específicos para reproducir el error. Requiere refinamiento para ser completamente claro y estimable.",,0,3,2.6757578857072692,0.32424211429273075,Pequeña (1-3 SP),3,0
21149814,release to production Tuesday 6 september - Release to production Tuesday 6 september,1,Technical Task,2.0,"El PBI carece de claridad y contexto. No define el alcance del trabajo, los pasos necesarios para la liberación o los criterios de éxito. La repetición de la fecha sugiere ambigüedad y falta de información relevante.",,2,1,3.413454263762977,2.413454263762977,Pequeña (1-3 SP),3,2
21149814,"Create Search bar component, which updates query filter in redux store - * Only search functionality, no add service * Focus on search bar when LayerSelect opens * Query filter is saved to redux store * Search bar looks same as design * Redux store only updates after user has stopped typing NOTE: Filter doesn't need to update LayerContainer contents, just update redux store",3,Technical Task,4.0,"El PBI describe claramente la creación de un componente de barra de búsqueda y su integración con el store de Redux, cumpliendo con los criterios de claridad y estimabilidad. Sin embargo, omite detalles sobre la implementación de la funcionalidad de búsqueda y su interacción con otros componentes, lo que podría requerir refinamiento.",,2,3,4.621257012525364,1.6212570125253638,Pequeña (1-3 SP),5,1
